id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,idade,sexo
471931,01/01/2009,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,37.0,Masculino
471931,01/01/2009,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,34.0,Masculino
471931,01/01/2009,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,20.0,Masculino
471957,01/01/2009,RN,101,EXTREMOZ,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,51.0,Masculino
471957,01/01/2009,RN,101,EXTREMOZ,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,49.0,Masculino
472174,02/01/2009,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,39.0,Masculino
472174,02/01/2009,RN,101,SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,35.0,Masculino
472282,02/01/2009,RN,101,NATAL,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,36.0,Masculino
472282,02/01/2009,RN,101,NATAL,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Dupla   ,Urbano,57.0,Feminino
472350,02/01/2009,RN,304,MOSSORO,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,25.0,Masculino
472350,02/01/2009,RN,304,MOSSORO,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,31.0,Masculino
472408,02/01/2009,RN,304,RIACHUELO,Animais na Pista,Atropelamento de animal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,39.0,Masculino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,43.0,Masculino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,61.0,Masculino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,29.0,Masculino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,39.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,43.0,Masculino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,39.0,Masculino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,21.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,51.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,19.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,25.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,27.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,62.0,Masculino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,25.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,36.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,-1.0,Masculino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,25.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,31.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,34.0,Feminino
472735,02/01/2009,RN,101,PARNAMIRIM,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,10.0,Feminino
472798,03/01/2009,RN,406,POCO BRANCO,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,64.0,Masculino
472798,03/01/2009,RN,406,POCO BRANCO,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,22.0,Masculino
472880,01/01/2009,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,36.0,Masculino
472880,01/01/2009,RN,101,PARNAMIRIM,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Nublado,Dupla   ,Urbano,20.0,Masculino
473018,04/01/2009,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,40.0,Masculino
473018,04/01/2009,RN,101,SAO JOSE DE MIPIBU,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,26.0,Masculino
473077,04/01/2009,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Sol,Dupla   ,Urbano,35.0,Masculino
473077,04/01/2009,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Sol,Dupla   ,Urbano,23.0,Masculino
473077,04/01/2009,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Sol,Dupla   ,Urbano,-1.0,Feminino
473091,02/01/2009,RN,101,PARNAMIRIM,Falta de atenção,Atropelamento de pessoa,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Simples ,Rural ,47.0,Masculino
473091,02/01/2009,RN,101,PARNAMIRIM,Falta de atenção,Atropelamento de pessoa,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Simples ,Rural ,66.0,Masculino
473168,04/01/2009,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Urbano,23.0,Masculino
