id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_veiculo,estado_fisico,idade,sexo
1035583,01/01/2012,RN,110,MOSSORO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,27.0,Masculino
1035583,01/01/2012,RN,110,MOSSORO,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Motocicletas,Ferido Grave,48.0,Masculino
1035649,01/01/2012,RN,304,MACAIBA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Rural ,Automóvel,Ileso       ,50.0,Masculino
1035649,01/01/2012,RN,304,MACAIBA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Rural ,Automóvel,Ileso       ,55.0,Masculino
1035649,01/01/2012,RN,304,MACAIBA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Anoitecer,Ceu Claro,Simples ,Rural ,Automóvel,Ileso       ,45.0,Masculino
1035703,01/01/2012,RN,304,MACAIBA,Dormindo,Tombamento,Com Vítimas Feridas,Pleno dia,Sol,Simples ,Rural ,Motocicletas,Ferido Leve ,35.0,Masculino
1035888,01/01/2012,RN,427,ACARI,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,50.0,Masculino
1035888,01/01/2012,RN,427,ACARI,Falta de atenção,Colisão Transversal,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Urbano,Automóvel,Ileso       ,75.0,Masculino
1036019,02/01/2012,RN,101,GOIANINHA,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Amanhecer,Ceu Claro,Dupla   ,Urbano,Motocicletas,Ferido Leve ,49.0,Masculino
1036019,02/01/2012,RN,101,GOIANINHA,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Amanhecer,Ceu Claro,Dupla   ,Urbano,Motocicletas,Ileso       ,36.0,Feminino
