id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_envolvido,idade,sexo
83123368,01/01/2014,RN,226,SANTA CRUZ,Outras,Capotamento,Ignorado           ,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,-1.0,Masculino
83123368,01/01/2014,RN,226,SANTA CRUZ,Outras,Capotamento,Ignorado           ,Pleno dia,Ceu Claro,Simples ,Rural ,Passageiro,-1.0,Masculino
83123402,01/01/2014,RN,304,ITAJA,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,19.0,Masculino
83123402,01/01/2014,RN,304,ITAJA,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Passageiro,0.0,Masculino
83123402,01/01/2014,RN,304,ITAJA,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Passageiro,24.0,Masculino
83123402,01/01/2014,RN,304,ITAJA,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Passageiro,32.0,Masculino
83123402,01/01/2014,RN,304,ITAJA,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Passageiro,16.0,Feminino
83123411,01/01/2014,RN,101,EXTREMOZ,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,15.0,Masculino
83123411,01/01/2014,RN,101,EXTREMOZ,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Pedestre,74.0,Masculino
83123460,01/01/2014,RN,427,CURRAIS NOVOS,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,31.0,Masculino
83123460,01/01/2014,RN,427,CURRAIS NOVOS,Falta de atenção,Colisão traseira,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,37.0,Masculino
83123582,01/01/2014,RN,304,MOSSORO,Falta de atenção,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Sol,Simples ,Urbano,Condutor,35.0,Feminino
83123582,01/01/2014,RN,304,MOSSORO,Falta de atenção,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Sol,Simples ,Urbano,Passageiro,17.0,Feminino
83123584,01/01/2014,RN,110,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,53.0,Masculino
83123584,01/01/2014,RN,110,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,30.0,Masculino
83123707,01/01/2014,RN,101,GOIANINHA,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,18.0,Masculino
83123707,01/01/2014,RN,101,GOIANINHA,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,31.0,Masculino
83123848,02/01/2014,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,-1.0,Masculino
83123848,02/01/2014,RN,304,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,64.0,Masculino
83123954,02/01/2014,RN,226,SANTA CRUZ,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,62.0,Masculino
83123954,02/01/2014,RN,226,SANTA CRUZ,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Passageiro,31.0,Masculino
83123954,02/01/2014,RN,226,SANTA CRUZ,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Passageiro,28.0,Feminino
83123954,02/01/2014,RN,226,SANTA CRUZ,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Passageiro,77.0,Masculino
83123954,02/01/2014,RN,226,SANTA CRUZ,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,26.0,Masculino
83124141,02/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,33.0,Masculino
83124141,02/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,33.0,Masculino
83124141,02/01/2014,RN,304,MACAIBA,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,33.0,Masculino
