id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,idade,sexo
83427235,01/01/16,RN,304,MACAIBA,Desobediência à sinalização,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples,Rural,27.0,M
83427235,01/01/16,RN,304,MACAIBA,Desobediência à sinalização,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples,Rural,,M
83427235,01/01/16,RN,304,MACAIBA,Desobediência à sinalização,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples,Rural,,F
83425952,01/01/16,RN,226,NATAL,Outras,Saída de Pista,Com Vítimas Fatais,Pleno dia,Nublado,Simples,Urbano,29.0,M
83425965,01/01/16,RN,101,PARNAMIRIM,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Múltipla,Urbano,38.0,M
83425965,01/01/16,RN,101,PARNAMIRIM,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Múltipla,Urbano,,M
83425965,01/01/16,RN,101,PARNAMIRIM,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Múltipla,Urbano,,M
83429728,01/01/16,RN,101,PARNAMIRIM,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Múltipla,Urbano,38.0,M
83429728,01/01/16,RN,101,PARNAMIRIM,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Múltipla,Urbano,,M
83429728,01/01/16,RN,101,PARNAMIRIM,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Múltipla,Urbano,,M
83425995,01/01/16,RN,101,TOUROS,Outras,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Sol,Simples,Rural,34.0,M
83448362,01/01/16,RN,101,MAXARANGUAPE,Outras,Capotamento,Ignorado,Pleno dia,Sol,Simples,Rural,,I
83426127,01/01/16,RN,226,SANTA CRUZ,Outras,Colisão Transversal,Com Vítimas Fatais,Anoitecer,Ceu Claro,Simples,Rural,25.0,M
83426127,01/01/16,RN,226,SANTA CRUZ,Outras,Colisão Transversal,Com Vítimas Fatais,Anoitecer,Ceu Claro,Simples,Rural,16.0,F
83426127,01/01/16,RN,226,SANTA CRUZ,Outras,Colisão Transversal,Com Vítimas Fatais,Anoitecer,Ceu Claro,Simples,Rural,36.0,M
83426127,01/01/16,RN,226,SANTA CRUZ,Outras,Colisão Transversal,Com Vítimas Fatais,Anoitecer,Ceu Claro,Simples,Rural,38.0,F
83426127,01/01/16,RN,226,SANTA CRUZ,Outras,Colisão Transversal,Com Vítimas Fatais,Anoitecer,Ceu Claro,Simples,Rural,,M
83426127,01/01/16,RN,226,SANTA CRUZ,Outras,Colisão Transversal,Com Vítimas Fatais,Anoitecer,Ceu Claro,Simples,Rural,48.0,F
83426127,01/01/16,RN,226,SANTA CRUZ,Outras,Colisão Transversal,Com Vítimas Fatais,Anoitecer,Ceu Claro,Simples,Rural,,F
83426131,01/01/16,RN,226,JUCURUTU,Ultrapassagem indevida,Colisão frontal,Com Vítimas Fatais,Plena noite,Ceu Claro,Simples,Rural,32.0,M
83426131,01/01/16,RN,226,JUCURUTU,Ultrapassagem indevida,Colisão frontal,Com Vítimas Fatais,Plena noite,Ceu Claro,Simples,Rural,9.0,F
83426131,01/01/16,RN,226,JUCURUTU,Ultrapassagem indevida,Colisão frontal,Com Vítimas Fatais,Plena noite,Ceu Claro,Simples,Rural,48.0,M
83426131,01/01/16,RN,226,JUCURUTU,Ultrapassagem indevida,Colisão frontal,Com Vítimas Fatais,Plena noite,Ceu Claro,Simples,Rural,,I
83427180,01/01/16,RN,101,CEARA-MIRIM,Falta de atenção,Colisão lateral,Sem Vítimas,Plena noite,Ceu Claro,Simples,Rural,39.0,M
83427180,01/01/16,RN,101,CEARA-MIRIM,Falta de atenção,Colisão lateral,Sem Vítimas,Plena noite,Ceu Claro,Simples,Rural,40.0,M
83426640,01/01/16,RN,110,AREIA BRANCA,Outras,Colisão traseira,Com Vítimas Fatais,Plena noite,Ceu Claro,Simples,Urbano,18.0,M
83426640,01/01/16,RN,110,AREIA BRANCA,Outras,Colisão traseira,Com Vítimas Fatais,Plena noite,Ceu Claro,Simples,Urbano,40.0,F
83426640,01/01/16,RN,110,AREIA BRANCA,Outras,Colisão traseira,Com Vítimas Fatais,Plena noite,Ceu Claro,Simples,Urbano,,I
83426125,01/01/16,RN,101,PARNAMIRIM,Ultrapassagem indevida,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla,Urbano,30.0,M
83426125,01/01/16,RN,101,PARNAMIRIM,Ultrapassagem indevida,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla,Urbano,29.0,M
83426385,02/01/16,RN,101,SAO JOSE DE MIPIBU,Defeito na via,Capotamento,Sem Vítimas,Pleno dia,Ceu Claro,Dupla,Rural,36.0,M
83426350,02/01/16,RN,304,MOSSORO,Animais na Pista,Atropelamento de animal,Sem Vítimas,Plena noite,Ceu Claro,Simples,Rural,34.0,M
83426418,02/01/16,RN,304,MOSSORO,Ingestão de álcool,Colisão com objeto fixo,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla,Urbano,60.0,M
83426460,03/01/16,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Múltipla,Urbano,36.0,M
83426460,03/01/16,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Múltipla,Urbano,,M
83426460,03/01/16,RN,101,PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Múltipla,Urbano,,M
83426707,03/01/16,RN,101,EXTREMOZ,Falta de atenção,Colisão Transversal,Sem Vítimas,Pleno dia,Ceu Claro,Simples,Rural,36.0,F
83426707,03/01/16,RN,101,EXTREMOZ,Falta de atenção,Colisão Transversal,Sem Vítimas,Pleno dia,Ceu Claro,Simples,Rural,33.0,F
83426722,03/01/16,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Simples,Rural,44.0,M
83426722,03/01/16,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Simples,Rural,39.0,M
83426722,03/01/16,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Simples,Rural,40.0,F
83426722,03/01/16,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Simples,Rural,20.0,M
83426722,03/01/16,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Simples,Rural,30.0,F
83426722,03/01/16,RN,304,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Ceu Claro,Simples,Rural,53.0,M
