id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
173746,01/01/2007,Segunda,02:20:00,RN,101,75.0,EXTREMOZ,Falta de atenção,Saída de Pista,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Cruzamento,Rural,2007,1,0,0,0,1,0,0,1
173937,01/01/2007,Segunda,18:00:00,RN,304,284.2,MACAIBA,Outras,Colisão com objeto móvel,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2007,1,0,0,1,0,0,1,1
173943,01/01/2007,Segunda,17:30:00,RN,101,82.1,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Anoitecer,Crescente,Ceu Claro,Dupla,Reta,Urbano,2007,2,0,0,0,2,0,0,1
173965,01/01/2007,Segunda,16:30:00,RN,101,109.3,PARNAMIRIM,Ingestão de álcool,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Rural,2007,3,0,0,0,3,0,0,3
173991,01/01/2007,Segunda,16:10:00,RN,304,33.8,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,0,0,2,0,0,2
174009,01/01/2007,Segunda,17:15:00,RN,101,73.9,EXTREMOZ,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2007,2,0,0,0,2,0,0,2
174170,02/01/2007,Terça,08:55:00,RN,226,12.8,MACAIBA,Defeito na via,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Curva,Urbano,2007,2,0,1,0,1,0,1,2
174172,02/01/2007,Terça,07:10:00,RN,101,139.6,ARES,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Nublado,Simples,Reta,Rural,2007,3,0,0,0,3,0,0,3
174180,02/01/2007,Terça,10:00:00,RN,101,57.6,CEARA-MIRIM,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Cruzamento,Urbano,2007,2,0,1,1,0,0,2,2
174466,02/01/2007,Terça,19:20:00,RN,304,61.9,MOSSORO,Animais na Pista,Atropelamento de animal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2007,1,0,0,0,1,0,0,1
174510,02/01/2007,Terça,19:30:00,RN,110,47.5,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,0,0,2,0,0,2
174529,02/01/2007,Terça,19:00:00,RN,101,95.5,NATAL,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2007,2,0,1,0,1,0,1,2
174572,02/01/2007,Terça,17:10:00,RN,101,120.3,SAO JOSE DE MIPIBU,Outras,Colisão Transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,0,1,1,0,1,2
174574,02/01/2007,Terça,08:00:00,RN,304,33.3,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2007,2,0,0,0,2,0,0,2
174581,02/01/2007,Terça,19:00:00,RN,406,34.0,GUAMARE,Outras,Capotamento,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,1,0,1,0,0,0,1,1
174606,02/01/2007,Terça,21:40:00,RN,406,55.0,JANDAIRA,Falta de atenção,Colisão lateral,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2007,5,1,2,0,2,0,2,2
174724,03/01/2007,Quarta,09:00:00,RN,304,39.6,MOSSORO,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Cruzamento,Urbano,2007,2,0,0,0,2,0,0,2
174774,03/01/2007,Quarta,05:40:00,RN,101,82.5,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Amanhecer,Decrescente,Ceu Claro,Dupla,Cruzamento,Urbano,2007,2,0,0,0,2,0,0,2
175168,01/01/2007,Segunda,03:30:00,RN,101,96.4,NATAL,Não guardar distância de segurança,Colisão lateral,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Curva,Urbano,2007,2,0,0,0,2,0,0,2
175216,04/01/2007,Quinta,06:50:00,RN,101,57.6,CEARA-MIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Cruzamento,Rural,2007,3,0,1,1,0,1,2,2
175248,01/01/2007,Segunda,04:50:00,RN,304,31.6,MOSSORO,Outras,Colisão com objeto móvel,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2007,1,1,0,0,0,0,0,1
175302,04/01/2007,Quinta,09:40:00,RN,226,54.1,BOM JESUS,Falta de atenção,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Rural,2007,2,0,1,0,1,0,1,1
