id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
83425952,01/01/16,Sexta,06:25:00,RN,226,6,NATAL,Outras,Saída de Pista,Com Vítimas Fatais,Pleno dia,Crescente,Nublado,Simples,Curva,Urbano,1,1,0,0,0,0,0,1
83425965,01/01/16,Sexta,08:35:00,RN,101,"101,8",PARNAMIRIM,Outras,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Múltipla,Reta,Urbano,3,0,0,0,2,1,0,2
83425995,01/01/16,Sexta,10:30:00,RN,101,11,TOUROS,Outras,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Rural,1,0,0,1,0,0,1,1
83426125,01/01/16,Sexta,23:30:00,RN,101,107,PARNAMIRIM,Ultrapassagem indevida,Colisão Transversal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Urbano,2,0,1,0,1,0,1,2
83426127,01/01/16,Sexta,17:40:00,RN,226,"105,1",SANTA CRUZ,Outras,Colisão Transversal,Com Vítimas Fatais,Anoitecer,Crescente,Ceu Claro,Simples,Reta,Rural,7,3,0,4,0,0,4,2
83426131,01/01/16,Sexta,18:40:00,RN,226,"247,8",JUCURUTU,Ultrapassagem indevida,Colisão frontal,Com Vítimas Fatais,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,4,1,0,1,1,1,1,3
83426350,02/01/16,Sábado,18:20:00,RN,304,"55,2",MOSSORO,Animais na Pista,Atropelamento de animal,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,1,0,0,0,1,0,0,1
83426385,02/01/16,Sábado,16:00:00,RN,101,137,SAO JOSE DE MIPIBU,Defeito na via,Capotamento,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Rural,1,0,0,0,1,0,0,1
83426418,02/01/16,Sábado,19:20:00,RN,304,"37,8",MOSSORO,Ingestão de álcool,Colisão com objeto fixo,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,1,0,0,1,0,0,1,1
83426460,03/01/16,Domingo,01:30:00,RN,101,"101,8",PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Múltipla,Reta,Urbano,3,0,1,0,1,1,1,2
83426640,01/01/16,Sexta,21:15:00,RN,110,"2,5",AREIA BRANCA,Outras,Colisão traseira,Com Vítimas Fatais,Plena noite,Decrescente,Ceu Claro,Simples,Curva,Urbano,3,1,1,0,0,1,1,2
83426707,03/01/16,Domingo,16:00:00,RN,101,"66,5",EXTREMOZ,Falta de atenção,Colisão Transversal,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Simples,Cruzamento,Rural,2,0,0,0,2,0,0,2
83426720,03/01/16,Domingo,16:15:00,RN,101,66,CEARA-MIRIM,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Rural,3,0,0,0,3,0,0,3
83426722,03/01/16,Domingo,16:05:00,RN,304,25,MOSSORO,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,12,0,0,0,12,0,0,3
83426920,04/01/16,Segunda,09:10:00,RN,405,"73,1",APODI,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Curva,Urbano,2,0,1,0,1,0,1,2
83427003,04/01/16,Segunda,13:45:00,RN,110,"88,5",UPANEMA,Outras,Capotamento,Com Vítimas Fatais,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,1,1,0,0,0,0,0,1
83427085,04/01/16,Segunda,15:40:00,RN,304,"87,6",ASSU,Falta de atenção,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,1,0,1,0,0,0,1,1
83427180,01/01/16,Sexta,19:10:00,RN,101,"58,5",CEARA-MIRIM,Falta de atenção,Colisão lateral,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2,0,0,0,2,0,0,2
83427214,05/01/16,Terça,06:10:00,RN,101,"107,3",PARNAMIRIM,Desobediência à sinalização,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Cruzamento,Urbano,2,0,1,0,1,0,1,2
83427235,01/01/16,Sexta,01:30:00,RN,304,286,MACAIBA,Desobediência à sinalização,Colisão traseira,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,3,0,0,3,0,0,3,2
83427259,05/01/16,Terça,09:20:00,RN,101,"109,3",PARNAMIRIM,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2,0,1,0,1,0,1,2
83427569,06/01/16,Quarta,12:00:00,RN,101,176,CANGUARETAMA,Defeito mecânico em veículo,Tombamento,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Rural,1,0,0,0,1,0,0,1
83427575,06/01/16,Quarta,15:20:00,RN,101,135,SAO JOSE DE MIPIBU,Ingestão de álcool,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Rural,3,0,2,0,1,0,2,2
83427583,06/01/16,Quarta,19:20:00,RN,405,2,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2,0,0,0,1,1,0,2
83427617,07/01/16,Quinta,00:20:00,RN,406,"168,4",SAO GONCALO DO AMARANTE,Desobediência à sinalização,Colisão lateral,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Dupla,Curva,Urbano,2,0,0,1,0,1,1,2
83427784,07/01/16,Quinta,08:15:00,RN,101,"168,6",CANGUARETAMA,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Rural,2,0,1,0,1,0,1,2
83427798,07/01/16,Quinta,05:00:00,RN,101,"94,6",NATAL,Ingestão de álcool,Colisão com objeto fixo,Sem Vítimas,Amanhecer,Crescente,Ceu Claro,Múltipla,Reta,Urbano,1,0,0,0,1,0,0,1
83427848,07/01/16,Quinta,16:40:00,RN,427,22,ACARI,Defeito mecânico em veículo,Saída de Pista,Com Vítimas Feridas,Anoitecer,Decrescente,Nublado,Simples,Curva,Rural,1,0,1,0,0,0,1,1
83428025,08/01/16,Sexta,12:10:00,RN,304,45,MOSSORO,Outras,Capotamento,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Urbano,1,0,0,0,1,0,0,1
83428039,08/01/16,Sexta,12:45:00,RN,304,45,MOSSORO,Defeito mecânico em veículo,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Urbano,1,0,1,0,0,0,1,1
83428044,04/01/16,Segunda,19:15:00,RN,405,"13,8",MOSSORO,Outras,Colisão traseira,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Rural,2,0,1,0,1,0,1,2
83428124,08/01/16,Sexta,15:50:00,RN,304,"42,2",MOSSORO,Velocidade incompatível,Colisão com objeto fixo,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Urbano,1,0,0,0,1,0,0,1
83428161,08/01/16,Sexta,19:16:00,RN,406,"169,5",SAO GONCALO DO AMARANTE,Falta de atenção,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2,0,0,0,2,0,0,2
83428189,08/01/16,Sexta,22:00:00,RN,304,301,MACAIBA,Outras,Colisão lateral,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Múltipla,Reta,Rural,3,0,0,2,1,0,2,2
83428385,09/01/16,Sábado,15:20:00,RN,101,"95,3",NATAL,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2,0,1,0,1,0,1,2
