id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
86,2017-01-01,domingo,07:30:00,RN,101.0,"109,5",NATAL                                                       ,Ingestão de Álcool                                                                                  ,Colisão traseira                                                                                                                                                                                        ,Sem Vítimas,Pleno dia           ,Decrescente         ,Céu Claro           ,Dupla               ,Não Informado                 ,Não       ,2,0,0,0,2,0,0,2,-5.93724872,-35.2649,SR-RN               ,DEL15/1                       ,UOP01/RN                      
112,2017-01-01,domingo,07:40:00,RN,405.0,30,MOSSORO                                                     ,Ingestão de Álcool                                                                                  ,Colisão frontal                                                                                                                                                                                         ,Com Vítimas Fatais,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Não       ,2,1,0,0,1,0,0,2,-5.3136,-37.569,SR-RN               ,DEL15/4                       ,UOP02/RN                      
170,2017-01-01,domingo,14:20:00,RN,101.0,"58,5",CEARA-MIRIM                                                 ,Falta de Atenção à Condução                                                                         ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Sim       ,5,0,2,0,3,0,2,2,-5.59033087,-35.27437879,SR-RN               ,DEL15/2                       ,UOP01/RN                      
213,2017-01-01,domingo,16:45:00,RN,304.0,"24,5",MOSSORO                                                     ,Falta de Atenção à Condução                                                                         ,Engavetamento                                                                                                                                                                                           ,Sem Vítimas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Não       ,5,0,0,0,5,0,0,5,-5.2352787,-37.318791100000006,SR-RN               ,DEL15/4                       ,UOP02/RN                      
216,2017-01-01,domingo,16:40:00,RN,304.0,30,MOSSORO                                                     ,Não guardar distância de segurança                                                                  ,Engavetamento                                                                                                                                                                                           ,Sem Vítimas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Sim       ,3,0,0,0,2,1,0,3,-5.2350477,-37.3184386,SR-RN               ,DEL15/4                       ,UOP02/RN                      
265,2017-01-01,domingo,18:55:00,RN,101.0,"115,6",SAO JOSE DE MIPIBU                                          ,Falta de Atenção à Condução                                                                         ,Tombamento                                                                                                                                                                                              ,Com Vítimas Feridas,Plena Noite         ,Decrescente         ,Céu Claro           ,Dupla               ,Reta                          ,Não       ,2,0,2,0,0,0,2,1,-5.7792569,-35.200916,SR-RN               ,DEL15/1                       ,UOP01/RN                      
312,2017-01-01,domingo,21:00:00,RN,101.0,"148,5",GOIANINHA                                                   ,Desobediência às normas de trânsito pelo condutor                                                   ,Colisão frontal                                                                                                                                                                                         ,Com Vítimas Fatais,Plena Noite         ,Decrescente         ,Céu Claro           ,Simples             ,Reta                          ,Sim       ,3,2,0,0,0,1,0,2,-6.26939982,-35.20928264,SR-RN               ,DEL15/1                       ,UOP01/RN                      
389,2017-01-02,segunda-feira,06:50:00,RN,101.0,104,PARNAMIRIM                                                  ,Falta de Atenção à Condução                                                                         ,Colisão lateral                                                                                                                                                                                         ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Sol                 ,Dupla               ,Curva                         ,Sim       ,2,0,1,0,1,0,1,2,-5.8911563,-35.25786281,SR-RN               ,DEL15/1                       ,UOP01/RN                      
463,2017-01-02,segunda-feira,12:00:00,RN,101.0,"100,2",PARNAMIRIM                                                  ,Falta de Atenção à Condução                                                                         ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Sol                 ,Múltipla            ,Desvio Temporário             ,Não       ,3,0,1,0,2,0,1,2,-5.88192895,-35.22683524,SR-RN               ,DEL15/1                       ,UOP01/RN                      
504,2017-01-02,segunda-feira,12:37:00,RN,304.0,"91,1",ACU                                                         ,Falta de Atenção à Condução                                                                         ,Colisão traseira                                                                                                                                                                                        ,Sem Vítimas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Não       ,2,0,0,0,2,0,0,2,-5.53791135,-37.088543200000004,SR-RN               ,DEL15/4                       ,UOP01/RN                      
580,2017-01-02,segunda-feira,18:30:00,RN,101.0,150,GOIANINHA                                                   ,Animais na Pista                                                                                    ,Colisão com objeto estático                                                                                                                                                                             ,Com Vítimas Feridas,Plena Noite         ,Decrescente         ,Céu Claro           ,Dupla               ,Reta                          ,Sim       ,1,0,1,0,0,0,1,1,-6.28543728,-35.20153105,SR-RN               ,DEL15/1                       ,UOP01/RN                      
789,2017-01-03,terça-feira,09:15:00,RN,427.0,"101,2",CAICO                                                       ,Desobediência às normas de trânsito pelo condutor                                                   ,Colisão com objeto em movimento                                                                                                                                                                         ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Não       ,1,0,0,1,0,0,1,1,-6.45928136,-37.09705353,SR-RN               ,DEL15/3                       ,UOP01/RN                      
916,2017-01-04,quarta-feira,06:00:00,RN,405.0,"134,1",SAO FRANCISCO DO OESTE                                      ,Avarias e/ou desgaste excessivo no pneu                                                             ,Tombamento                                                                                                                                                                                              ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Não       ,1,0,1,0,0,0,1,1,-5.96452724,-38.12876702,SR-RN               ,DEL15/4                       ,UOP02/RN                      
1070,2017-01-04,quarta-feira,17:10:00,RN,101.0,86,NATAL                                                       ,Falta de Atenção do Pedestre                                                                        ,Atropelamento de Pedestre                                                                                                                                                                               ,Com Vítimas Feridas,Anoitecer           ,Decrescente         ,Céu Claro           ,Dupla               ,Reta                          ,Sim       ,2,0,1,0,1,0,1,1,-5.7829999999999995,-35.2472,SR-RN               ,DEL15/2                       ,UOP01/RN                      
1136,2017-01-04,quarta-feira,22:40:00,RN,304.0,"32,2",MOSSORO                                                     ,Animais na Pista                                                                                    ,Atropelamento de Animal                                                                                                                                                                                 ,Com Vítimas Feridas,Plena Noite         ,Decrescente         ,Céu Claro           ,Simples             ,Reta                          ,Sim       ,1,0,0,1,0,0,1,1,-5.13143461,-37.34423518,SR-RN               ,DEL15/4                       ,UOP02/RN                      
1188,2017-01-05,quinta-feira,07:10:00,RN,101.0,"107,7",PARNAMIRIM                                                  ,Falta de Atenção à Condução                                                                         ,Colisão lateral                                                                                                                                                                                         ,Com Vítimas Feridas,Pleno dia           ,Decrescente         ,Nublado             ,Dupla               ,Reta                          ,Sim       ,2,0,0,1,1,0,1,2,-5.92075928,-35.26407395,SR-RN               ,DEL15/1                       ,UOP01/RN                      
1438,2017-01-06,sexta-feira,09:25:00,RN,304.0,"92,1",ACU                                                         ,Falta de Atenção à Condução                                                                         ,Capotamento                                                                                                                                                                                             ,Com Vítimas Fatais,Pleno dia           ,Crescente           ,Sol                 ,Simples             ,Reta                          ,Não       ,6,1,2,2,0,1,4,2,-5.54291118,-37.08114346,SR-RN               ,DEL15/4                       ,UOP01/RN                      
1439,2017-01-06,sexta-feira,08:35:00,RN,304.0,"28,9",MOSSORO                                                     ,Falta de Atenção à Condução                                                                         ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Sol                 ,Simples             ,Reta                          ,Sim       ,2,0,1,0,1,0,1,2,-5.08537173,-37.33427882,SR-RN               ,DEL15/4                       ,UOP02/RN                      
1461,2017-01-06,sexta-feira,09:30:00,RN,226.0,"4,4",NATAL                                                       ,Falta de Atenção à Condução                                                                         ,Capotamento                                                                                                                                                                                             ,Sem Vítimas,Pleno dia           ,Crescente           ,Sol                 ,Simples             ,Reta                          ,Sim       ,1,0,0,0,1,0,0,1,-5.78133275,-35.15607834,SR-RN               ,DEL15/1                       ,UOP02/RN                      
1564,2017-01-06,sexta-feira,16:50:00,RN,304.0,296,MACAIBA                                                     ,Falta de Atenção à Condução                                                                         ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Anoitecer           ,Crescente           ,Céu Claro           ,Simples             ,Reta                          ,Sim       ,5,0,1,0,4,0,1,4,-5.86559701,-35.354608299999995,SR-RN               ,DEL15/1                       ,UOP02/RN                      
1569,2017-01-06,sexta-feira,16:05:00,RN,304.0,"305,1",PARNAMIRIM                                                  ,Falta de Atenção à Condução                                                                         ,Colisão traseira                                                                                                                                                                                        ,Com Vítimas Feridas,Pleno dia           ,Crescente           ,Sol                 ,Dupla               ,Reta                          ,Sim       ,2,0,1,0,0,1,1,2,-5.886,-35.2765,SR-RN               ,DEL15/1                       ,UOP02/RN                      
1633,2017-01-06,sexta-feira,21:15:00,RN,101.0,112,SAO JOSE DE MIPIBU                                          ,Falta de Atenção à Condução                                                                         ,Colisão lateral                                                                                                                                                                                         ,Com Vítimas Feridas,Plena Noite         ,Crescente           ,Céu Claro           ,Dupla               ,Reta                          ,Sim       ,3,0,2,0,0,1,2,2,-5.7792569,-35.200916,SR-RN               ,DEL15/1                       ,UOP01/RN                      
1865,2017-01-07,sábado,18:30:00,RN,226.0,"4,3",NATAL                                                       ,Desobediência às normas de trânsito pelo condutor                                                   ,Colisão transversal                                                                                                                                                                                     ,Com Vítimas Feridas,Plena Noite         ,Decrescente         ,Céu Claro           ,Simples             ,Curva                         ,Sim       ,2,0,1,0,0,1,1,2,-5.81911839,-35.2625218,SR-RN               ,DEL15/1                       ,UOP02/RN                      
