antecedentes,consequências,confiança,lift,convicção
Abril,Condutor,0.8962242297892055,0.9997065773636645,0.9974652111909829
Abril,Masculino,0.8364605049803103,1.0044146533343838,1.0224805200231852
Agosto,Condutor,0.9076620825147349,1.0124650994171445,1.121020739571425
Agosto,Masculino,0.8352161100196465,1.0029203944595364,1.0147590758538219
Atropelamento De Animal,Animais Na Pista,0.9871481028151774,23.347178656030827,74.51963919686231
Animais Na Pista,Condutor,0.8056083650190115,0.8986277702825771,0.5324957555912352
Animais Na Pista,Masculino,0.8521863117870723,1.0232980682693056,1.1312615897330458
Atropelamento De Animal,Condutor,0.817625458996328,0.9120324155606302,0.5675831724107419
Atropelamento De Animal,Masculino,0.8708690330477356,1.0457321209073482,1.294932980513309
Atropelamento De Animal,Simples,0.8139534883720929,1.9497426344648159,3.1311141031309018
Atropelamento De Pessoa,Com Vítimas Feridas,0.8312318137730359,2.1779569038002218,3.6638618213500864
Atropelamento De Pessoa,Masculino,0.8098933074684772,0.9725129887369118,0.8795900117210985
Pedestre,Atropelamento De Pessoa,0.9144851657940662,44.138322813040084,11.451596538297798
Colisão Com Objeto Fixo,Condutor,0.8326241134751774,0.9287628866143277,0.6184446439628906
Colisão Com Objeto Fixo,Masculino,0.8524822695035461,1.0236534517756681,1.1335311853654164
Colisão Frontal,Masculino,0.8153721024806833,0.979091879144899,0.9056916650126853
Colisão Frontal,Simples,0.8393655957706385,2.0106147480859975,3.6264513769085163
Colisão Lateral,Condutor,0.9450961989676209,1.0542215384776568,1.8853470725782935
Colisão Lateral,Masculino,0.8471374941342094,1.0172354910138879,1.0938977283211144
Colisão Transversal,Condutor,0.8833900778210116,0.9853905326607604,0.8876836431717366
Colisão Transversal,Masculino,0.8262402723735408,0.9921422850281638,0.9623400669200788
Colisão Traseira,Condutor,0.9533257082526835,1.063401266370851,2.217767354890145
Colisão Traseira,Masculino,0.832130916769312,0.9992157206697353,0.9961092578451203
Não Guardar Distância De Segurança,Colisão Traseira,0.8730142871415727,1.9110917190189574,4.2775328897574525
